Какие шесть «слоев бытия» выделяются по временному горизонту?,"Эмоциональный (минуты), материальный (дни), социальный (годы), культурный (поколения), духовный (тысячелетия), космический (миллионы лет)."
Решению какой задачи служит модель «слоев бытия»?,Задаче о возможном диалоге между незнакомыми людьми.
В иерархии распространения информации (миф-религия-наука) позиция «транслятор» соответствует _____ слою бытия.,социальному
Какая динамическая стратегия в культуре соответствует духовному слою бытия?,Странник (путешествие по позициям автор-транслятор-потребитель).
Какие два механизма в модели решения задач человеком считаются самыми хрупкими?,Механизм копирования (внимание + кодировки) и механизм выталкивания из очереди (разогрев).
Назовите три крупные единицы информации (кодировки).,"Образ, смысл, сценарий."
Что является соединением смысла и образа?,Метафора.
Назовите три базовые средние формы информации (кодировки).,"Схема, картинка, текст."
"Согласно модели Фельдмана, что лежит в основе четырех темпераментов?",Различия в форме кривой разогрева (работоспособности) во времени.
Какой темперамент характеризуется самым быстрым включением в работу и избытком энергии вначале?,Холерик.
"Какой темперамент, согласно модели кривой разогрева, является самым выносливым из-за самого длинного плато работоспособности?",Флегматик.
"Почему меланхолик, согласно модели, является самым чутким?","Потому что он дольше всех включается в работу, меньше шумит и больше слушает других."
"Какой вывод о причинах возникновения «жуликов» в классе делает модель, основанная на темпераментах и кодировках?","Ученики, чьи кодировки и/или темперамент не совпадают с учительскими, не успевают работать честно и выбирают нечестный путь, чтобы не быть неудачниками."
Что такое Теория уровней абстрактного интеллекта (ТУАИ)?,"Это модель, описывающая 8 последовательных состояний (уровней) поля внимания человека, которые сменяются с возрастом."
Какой объект находится в поле внимания на первом уровне ТУАИ?,"Один объект, идея-фикс."
Что характеризует второй уровень поля внимания по ТУАИ?,"Множество объектов, пространство, граница, свой-чужой."
Какая деятельность является ведущей на третьем уровне ТУАИ (возраст 6-9 лет)?,"Один линейный процесс (чтение, письмо, счет, следование цели)."
Что появляется в поле внимания на четвертом уровне ТУАИ (возраст 9-12 лет)?,"Много процессов одновременно, ролевая система."
С какими понятиями связан пятый уровень ТУАИ?,"Свобода, случайность, риск, самостоятельность."
Что характеризует шестой уровень поля внимания по ТУАИ?,"Теория, логика, диалог, обсуждение картин мира."
"Седьмой уровень ТУАИ связан с такими понятиями, как...","...изобретение, открытие, инновация, универсум."
Что находится в фокусе внимания на восьмом уровне ТУАИ?,"Мультиверсум, понимание многих культур, гармония."
Афоризм Энгельса «Свобода есть осознанная необходимость» является примером подмены _____ уровня ТУАИ на комбинацию _____ и _____ уровней.,"пятого, третьего, четвертого"
"Согласно правилам элементарного конфликта, что происходит при взаимодействии людей с далекими уровнями ТУАИ?","Война, в которой старший по уровню погибает или бежит, а младший получает выигрыш."
Что происходит при взаимодействии людей с соседними уровнями ТУАИ?,"Кооперация, в которой старший выигрывает немного больше."
В чем заключается «принцип потолка» в ТУАИ?,"Если человек не может подняться выше уровня Х, то все состояния выше Х для него либо не существуют, либо сливаются в неразличимую массу."
"Как лозунг Робеспьера «Свобода, равенство, братство» раскладывается по уровням ТУАИ?","Свобода (5), равенство (2), братство (1)."
"Как лозунг Уварова «Православие, самодержавие, народность» соотносится с социальными группами и уровнями ТУАИ?","Православие (священники, 4), самодержавие (государство/армия, 135), народность (крестьяне, 2)."
"В модели диффузии инноваций, какой уровень ТУАИ характерен для кластера «инноваторов»?",Седьмой уровень (изобретение).
"Какая ключевая ошибка, по мнению Фельдмана, была допущена Карлом Поппером в анализе СССР?","Поппер ошибочно связал диктатуру с проектным мышлением (фасадом), не увидев, что её основа — это армейский скелет (1357)."
"В чем, согласно Фельдману, заключается проблема российского школьного образования?","Оно построено исключительно на задачах третьего уровня (линейные процессы), не развивая у учеников высшие уровни мышления."
"Какой тип экономического роста, основанный на непрерывном потоке инноваций, называется шумпетерианским?",Шумпетерианский.
"В модели Кена Уилбера, что такое «путь восхождения» в духовности?","Это трансцендентальный, потусторонний путь, который обесценивает тело и материальный мир, стремясь к Единому."
"В модели Кена Уилбера, что такое «путь нисхождения» в духовности?","Это посюсторонний путь, прославляющий Землю, тело, чувственный опыт и Многое, а не Единое."
"Согласно Кену Уилберу, эволюцию лучше всего понимать как _____, который разворачивает себя с каждой стадией развития.",Дух-в-действии
"В модели личности Фрейда, какой центр силы соответствует принципу «здесь и сейчас» и соотносится с 1-м уровнем ТУАИ?",Ид (Оно).
Какой центр силы в модели Фрейда отвечает за преодоление реальности для достижения цели и соотносится с 3-м уровнем ТУАИ?,Эго (Я).
"В модели Фрейда, _____ отвечает за социальный контроль через механизмы вины и стыда и соотносится со 2-м и 4-м уровнями ТУАИ.",Суперэго (Сверх-Я)
"Какой механизм внутреннего регулирования, связанный с диалогом, характерен для шестого уровня ТУАИ?",Совесть.
"Какая игра, согласно задачнику, требует для участия достижения 4-го уровня ТУАИ, а для выигрыша — 5-го?",Футбол.
"Каков алгоритм выбора школы для ребенка, согласно тексту?","Составить список желаемых способностей, наблюдать за уроками, отмечая востребованность этих способностей, и на основе этого делать выбор."
"В алгоритме принятия решений, какая комбинация в карте личности и карте задачи является «катастрофой»?","Когда у личности есть много некоторого качества, а в задаче это качество категорически запрещено."
